,c,50,100,150,200,250,300
0,0.5,0.8172673931265717,0.8700754400670578,0.8860016764459346,0.8885163453478625,0.8977367979882649,0.8952221290863369
1,2.5,0.90360435875943,0.9446772841575859,0.9656328583403185,0.972338642078793,0.9782062028499581,0.9756915339480302
2,4.5,0.9253981559094719,0.9631181894383906,0.9823973176865046,0.9882648784576697,0.9907795473595976,0.9907795473595976
3,6.5,0.9388097233864208,0.9782062028499581,0.9874266554903605,0.991617770326907,0.9949706621961442,0.9941324392288349
4,8.5,0.9455155071248952,0.9823973176865046,0.991617770326907,0.9958088851634534,0.9974853310980721,0.9983235540653814
5,10.5,0.9522212908633697,0.9849119865884325,0.9949706621961442,0.9966471081307627,0.9974853310980721,0.9991617770326907
6,12.5,0.9606035205364627,0.9899413243922883,0.9958088851634534,0.9966471081307627,0.9991617770326907,1.0
7,14.5,0.9647946353730092,0.9924559932942163,0.9966471081307627,0.9983235540653814,0.9991617770326907,1.0
8,16.5,0.9698239731768651,0.9924559932942163,0.9974853310980721,0.9983235540653814,1.0,1.0
9,18.5,0.9706621961441744,0.9941324392288349,0.9974853310980721,0.9983235540653814,1.0,1.0
10,20.5,0.972338642078793,0.9949706621961442,0.9974853310980721,0.9991617770326907,1.0,1.0
11,22.5,0.9756915339480302,0.9958088851634534,0.9983235540653814,0.9991617770326907,1.0,1.0
12,24.5,0.9773679798826488,0.9966471081307627,0.9983235540653814,1.0,1.0,1.0
13,26.5,0.9790444258172674,0.9966471081307627,0.9983235540653814,1.0,1.0,1.0
14,28.5,0.9798826487845766,0.9974853310980721,0.9991617770326907,1.0,1.0,1.0
15,30.5,0.9815590947191953,0.9983235540653814,0.9991617770326907,1.0,1.0,1.0
16,32.5,0.9832355406538139,0.9991617770326907,0.9991617770326907,1.0,1.0,1.0
17,34.5,0.9840737636211232,0.9991617770326907,0.9991617770326907,1.0,1.0,1.0
18,36.5,0.9849119865884325,0.9991617770326907,0.9991617770326907,1.0,1.0,1.0
19,38.5,0.9849119865884325,0.9991617770326907,1.0,1.0,1.0,1.0
20,40.5,0.9857502095557418,0.9991617770326907,1.0,1.0,1.0,1.0
21,42.5,0.9857502095557418,0.9991617770326907,1.0,1.0,1.0,1.0
22,44.5,0.9865884325230512,0.9991617770326907,1.0,1.0,1.0,1.0
23,46.5,0.9874266554903605,0.9991617770326907,1.0,1.0,1.0,1.0
24,48.5,0.9874266554903605,0.9991617770326907,1.0,1.0,1.0,1.0
25,50.5,0.9882648784576697,0.9991617770326907,1.0,1.0,1.0,1.0
26,52.5,0.989103101424979,0.9991617770326907,1.0,1.0,1.0,1.0
27,54.5,0.989103101424979,0.9991617770326907,1.0,1.0,1.0,1.0
28,56.5,0.9899413243922883,0.9991617770326907,1.0,1.0,1.0,1.0
29,58.5,0.9899413243922883,1.0,1.0,1.0,1.0,1.0
30,60.5,0.9924559932942163,1.0,1.0,1.0,1.0,1.0
31,62.5,0.9924559932942163,1.0,1.0,1.0,1.0,1.0
32,64.5,0.9932942162615256,1.0,1.0,1.0,1.0,1.0
33,66.5,0.9932942162615256,1.0,1.0,1.0,1.0,1.0
34,68.5,0.9932942162615256,1.0,1.0,1.0,1.0,1.0
35,70.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
36,72.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
37,74.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
38,76.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
39,78.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
40,80.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
41,82.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
42,84.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
43,86.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
44,88.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
45,90.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
46,92.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
47,94.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
48,96.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
49,98.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
