,c,50,100,150,200,250,300
0,0.5,0.7367979882648784,0.730092204526404,0.7049455155071249,0.7082984073763621,0.6999161777032691,0.694048616932104
1,2.5,0.911986588432523,0.9438390611902766,0.9597652975691534,0.9597652975691534,0.9597652975691534,0.9463537300922046
2,4.5,0.9321039396479464,0.9639564124057,0.9790444258172674,0.9815590947191953,0.9823973176865046,0.9798826487845766
3,6.5,0.9379715004191115,0.9790444258172674,0.9882648784576697,0.9882648784576697,0.9899413243922883,0.9899413243922883
4,8.5,0.9446772841575859,0.980720871751886,0.989103101424979,0.9924559932942163,0.9907795473595976,0.991617770326907
5,10.5,0.9547359597652976,0.9849119865884325,0.9907795473595976,0.9924559932942163,0.9924559932942163,0.9949706621961442
6,12.5,0.961441743503772,0.9857502095557418,0.9932942162615256,0.9932942162615256,0.9949706621961442,0.9958088851634534
7,14.5,0.9647946353730092,0.9874266554903605,0.9941324392288349,0.9949706621961442,0.9966471081307627,0.9966471081307627
8,16.5,0.9664710813076278,0.989103101424979,0.9941324392288349,0.9958088851634534,0.9974853310980721,0.9974853310980721
9,18.5,0.9673093042749371,0.989103101424979,0.9966471081307627,0.9974853310980721,0.9983235540653814,0.9983235540653814
10,20.5,0.9673093042749371,0.9932942162615256,0.9974853310980721,0.9983235540653814,0.9983235540653814,0.9991617770326907
11,22.5,0.9681475272422464,0.9949706621961442,0.9974853310980721,0.9991617770326907,0.9983235540653814,0.9991617770326907
12,24.5,0.9698239731768651,0.9966471081307627,0.9974853310980721,0.9991617770326907,0.9983235540653814,0.9991617770326907
13,26.5,0.9715004191114837,0.9966471081307627,0.9974853310980721,0.9991617770326907,0.9991617770326907,0.9991617770326907
14,28.5,0.9731768650461022,0.9966471081307627,0.9983235540653814,0.9991617770326907,0.9991617770326907,0.9991617770326907
15,30.5,0.9756915339480302,0.9974853310980721,0.9991617770326907,0.9991617770326907,0.9991617770326907,1.0
16,32.5,0.9756915339480302,0.9983235540653814,0.9991617770326907,0.9991617770326907,1.0,1.0
17,34.5,0.9765297569153395,0.9983235540653814,0.9991617770326907,1.0,1.0,1.0
18,36.5,0.9798826487845766,0.9983235540653814,0.9991617770326907,1.0,1.0,1.0
19,38.5,0.9798826487845766,0.9983235540653814,0.9991617770326907,1.0,1.0,1.0
20,40.5,0.9823973176865046,0.9983235540653814,0.9991617770326907,1.0,1.0,1.0
21,42.5,0.9840737636211232,0.9991617770326907,0.9991617770326907,1.0,1.0,1.0
22,44.5,0.9840737636211232,1.0,0.9991617770326907,1.0,1.0,1.0
23,46.5,0.9857502095557418,1.0,0.9991617770326907,1.0,1.0,1.0
24,48.5,0.9874266554903605,1.0,1.0,1.0,1.0,1.0
25,50.5,0.989103101424979,1.0,1.0,1.0,1.0,1.0
26,52.5,0.9899413243922883,1.0,1.0,1.0,1.0,1.0
27,54.5,0.9899413243922883,1.0,1.0,1.0,1.0,1.0
28,56.5,0.9899413243922883,1.0,1.0,1.0,1.0,1.0
29,58.5,0.9899413243922883,1.0,1.0,1.0,1.0,1.0
30,60.5,0.9899413243922883,1.0,1.0,1.0,1.0,1.0
31,62.5,0.989103101424979,1.0,1.0,1.0,1.0,1.0
32,64.5,0.989103101424979,1.0,1.0,1.0,1.0,1.0
33,66.5,0.989103101424979,1.0,1.0,1.0,1.0,1.0
34,68.5,0.989103101424979,1.0,1.0,1.0,1.0,1.0
35,70.5,0.989103101424979,1.0,1.0,1.0,1.0,1.0
36,72.5,0.989103101424979,1.0,1.0,1.0,1.0,1.0
37,74.5,0.9899413243922883,1.0,1.0,1.0,1.0,1.0
38,76.5,0.9899413243922883,1.0,1.0,1.0,1.0,1.0
39,78.5,0.9907795473595976,1.0,1.0,1.0,1.0,1.0
40,80.5,0.9907795473595976,1.0,1.0,1.0,1.0,1.0
41,82.5,0.9907795473595976,1.0,1.0,1.0,1.0,1.0
42,84.5,0.9907795473595976,1.0,1.0,1.0,1.0,1.0
43,86.5,0.9924559932942163,1.0,1.0,1.0,1.0,1.0
44,88.5,0.9924559932942163,1.0,1.0,1.0,1.0,1.0
45,90.5,0.9932942162615256,1.0,1.0,1.0,1.0,1.0
46,92.5,0.9932942162615256,1.0,1.0,1.0,1.0,1.0
47,94.5,0.9932942162615256,1.0,1.0,1.0,1.0,1.0
48,96.5,0.9932942162615256,1.0,1.0,1.0,1.0,1.0
49,98.5,0.9941324392288349,1.0,1.0,1.0,1.0,1.0
