perturb_level,best_accs
1,0.9911392405063291
2,0.9645569620253165
3,0.9518987341772152
4,0.9405063291139241
5,0.9240506329113924
6,0.9063291139240506
7,0.8974683544303798
8,0.8848101265822785
9,0.8683544303797468
10,0.8443037974683544
