,c,50,100,150,200,250,300
0,0.5,0.8245172124265323,0.8463476070528967,0.8664987405541562,0.8824517212426533,0.890848026868178,0.9026028547439127
1,2.5,0.892527287993283,0.943744752308984,0.9487825356842989,0.9689336691855583,0.9756507136859782,0.9714525608732157
2,4.5,0.9193954659949622,0.9672544080604534,0.9722921914357683,0.9874055415617129,0.9890848026868178,0.9907640638119227
3,6.5,0.9353484466834593,0.9798488664987406,0.9832073887489504,0.9924433249370277,0.9974811083123426,0.9966414777497901
4,8.5,0.9513014273719563,0.9874055415617129,0.9882451721242653,0.9932829554995802,0.9974811083123426,0.9966414777497901
5,10.5,0.9596977329974811,0.9907640638119227,0.9941225860621327,0.9966414777497901,1.0,0.998320738874895
6,12.5,0.9638958858102435,0.9932829554995802,0.9966414777497901,0.9974811083123426,1.0,1.0
7,14.5,0.9680940386230059,0.9932829554995802,0.9974811083123426,0.998320738874895,1.0,1.0
8,16.5,0.9706129303106633,0.9958018471872376,0.998320738874895,1.0,1.0,1.0
9,18.5,0.9748110831234257,0.9974811083123426,0.998320738874895,1.0,1.0,1.0
10,20.5,0.9781696053736356,0.9974811083123426,0.998320738874895,1.0,1.0,1.0
11,22.5,0.9781696053736356,0.998320738874895,0.9991603694374476,1.0,1.0,1.0
12,24.5,0.9815281276238456,0.9991603694374476,1.0,1.0,1.0,1.0
13,26.5,0.982367758186398,1.0,1.0,1.0,1.0,1.0
14,28.5,0.9832073887489504,1.0,1.0,1.0,1.0,1.0
15,30.5,0.9857262804366079,1.0,1.0,1.0,1.0,1.0
16,32.5,0.9857262804366079,1.0,1.0,1.0,1.0,1.0
17,34.5,0.9865659109991604,1.0,1.0,1.0,1.0,1.0
18,36.5,0.9865659109991604,1.0,1.0,1.0,1.0,1.0
19,38.5,0.9882451721242653,1.0,1.0,1.0,1.0,1.0
20,40.5,0.9899244332493703,1.0,1.0,1.0,1.0,1.0
21,42.5,0.9907640638119227,1.0,1.0,1.0,1.0,1.0
22,44.5,0.9907640638119227,1.0,1.0,1.0,1.0,1.0
23,46.5,0.9907640638119227,1.0,1.0,1.0,1.0,1.0
24,48.5,0.9924433249370277,1.0,1.0,1.0,1.0,1.0
25,50.5,0.9932829554995802,1.0,1.0,1.0,1.0,1.0
26,52.5,0.9941225860621327,1.0,1.0,1.0,1.0,1.0
27,54.5,0.9941225860621327,1.0,1.0,1.0,1.0,1.0
28,56.5,0.9941225860621327,1.0,1.0,1.0,1.0,1.0
29,58.5,0.9941225860621327,1.0,1.0,1.0,1.0,1.0
30,60.5,0.9941225860621327,1.0,1.0,1.0,1.0,1.0
31,62.5,0.9949622166246851,1.0,1.0,1.0,1.0,1.0
32,64.5,0.9949622166246851,1.0,1.0,1.0,1.0,1.0
33,66.5,0.9958018471872376,1.0,1.0,1.0,1.0,1.0
34,68.5,0.9958018471872376,1.0,1.0,1.0,1.0,1.0
35,70.5,0.9966414777497901,1.0,1.0,1.0,1.0,1.0
36,72.5,0.9966414777497901,1.0,1.0,1.0,1.0,1.0
37,74.5,0.9966414777497901,1.0,1.0,1.0,1.0,1.0
38,76.5,0.9974811083123426,1.0,1.0,1.0,1.0,1.0
39,78.5,0.9974811083123426,1.0,1.0,1.0,1.0,1.0
40,80.5,0.9974811083123426,1.0,1.0,1.0,1.0,1.0
41,82.5,0.9974811083123426,1.0,1.0,1.0,1.0,1.0
42,84.5,0.9974811083123426,1.0,1.0,1.0,1.0,1.0
43,86.5,0.9974811083123426,1.0,1.0,1.0,1.0,1.0
44,88.5,0.9974811083123426,1.0,1.0,1.0,1.0,1.0
45,90.5,0.9974811083123426,1.0,1.0,1.0,1.0,1.0
46,92.5,0.9974811083123426,1.0,1.0,1.0,1.0,1.0
47,94.5,0.998320738874895,1.0,1.0,1.0,1.0,1.0
48,96.5,0.998320738874895,1.0,1.0,1.0,1.0,1.0
49,98.5,0.998320738874895,1.0,1.0,1.0,1.0,1.0
